Plate,ID,Ct_Mean_bac,Ct_SD_bac,bac_copies_raw,bac_copies
5,1-12_8,14.9186334609985,0.0611056461930275,3088341.71267873,4169261312.11629
5,a3-0,21.0120067596436,0.127615138888359,49441.2838268381,66745733.1662315
5,a3-3,20.1228580474854,0.0964386761188507,90387.8324482693,122023573.805164
5,1-9_9,14.6234350204468,0.303133130073547,3773256.93750452,5093896865.63111
5,1-9_10,33.9982223510742,1.83176934719086,7.3658980677039,9943.96239140027
5,b3-0,20.6179161071777,0.114674121141434,64598.581781459,87208085.4049697
5,b3-3,20.0069694519043,0.0569895170629025,97782.4221556184,132006269.910085
5,1-10_9,16.4379825592041,0.331977546215057,1101522.7988456,1487055778.44156
5,1-10_10,35.3528480529785,0.573002994060516,2.93789066554962,3966.15239849199
5,1-12_9,15.3058309555054,0.234232023358345,2374780.22951398,3205953309.84387
5,1-12_10,15.2309303283691,0.00162720552179962,2498593.68303634,3373101472.09906
5,1-8_9,15.5251607894897,0.115455374121666,2046396.83905282,2762635732.72131
6,2-0_1,22.7926502227783,0.22441802918911,14769.2325317417,19938463.9178514
6,2-0_2,21.9514255523682,0.325319588184357,26136.9908969227,35284937.7108457
6,2-0_3,24.2533359527588,0.189445182681084,5481.6762369796,7400262.91992246
6,2-0_10,25.9160976409912,0.0527648366987705,1773.86168204382,2394713.27075915
6,2-1_1,13.3260774612427,0.316040694713593,9099767.55495306,12284686199.1866
6,2-1_2,14.2459573745728,0.10485877841711,4874768.4583577,6580937418.7829
6,2-1_3,15.0571336746216,0.0600538700819016,2811325.8559876,3795289905.58326
6,2-2_1,12.8739547729492,0.474949806928635,12367012.7231611,16695467176.2675
6,2-2_2,16.0239543914795,0.0675799921154976,1458821.15816827,1969408563.52716
6,2-2_3,12.4373435974121,0.0289588328450918,16631379.7870321,22452362712.4933
6,2-2_10,13.2155256271362,0.0363949835300446,9808632.10449675,13241653341.0706
6,2-3_1,22.6512584686279,10.0153884887695,16256.3928918323,21946130.4039737
6,2-3_2,13.3450241088867,0.0756867751479149,8983529.02233558,12127764180.153
6,2-3_3,16.0693607330322,0.0510729365050793,1414560.126329,1909656170.54416
6,2-3_10,16.7691631317139,0.218232810497284,879830.48465798,1187771154.28827
6,2-4_1,14.9507036209106,1.29201912879944,3021862.50563448,4079514382.60655
6,2-4_2,11.705060005188,0.0661686137318611,27335212.9063558,36902537423.5804
