,ESL0825_0,ESL0822_4,ESL0170_5,ESL0824_6,ESL0198_8,ESL0827_10,ESL0199_12,ESL0200_13,ESL0819_14,ESL0197_15,ESL0394_20,ESL0394_21,ESL0394_22,ESL0394_23,ESL0295_24,ESL0353;ESL0185_26,ESL0263_27,ESL0263_28,ESL0183;ESL0262_29,ESL0183;ESL0262_30,ESL0183;ESL0262_31,ESL0183;ESL0262_32,ESL0184_48,ESL0184_49,ESL0184_50,ESL0184_51,ESL0350_52,ESL0350_53,ESL0350_54,ESL0350_55,ESL0186_56,ESL0186;ESL0351_57,ESL0261_58,ESL0261_59,ESL0820_61,ESL0827_62,unk_0,unk_1,unk_2,unk_3,unk_4,unk_5,unk_6,unk_7,unk_8,unk_9,unk_10,unk_11,unk_12,unk_13,unk_14,unk_15,unk_16,unk_17,unk_18,unk_19,unk_20,unk_21,unk_22,unk_23,unk_24,unk_25,unk_26,unk_27,unk_28,unk_29,unk_30,unk_31,total
3-8_filt_reads.fastq.gz,2267,1037,0,2761,0,527,0,200,0,172,0,0,0,0,3424,3428,0,0,3817,4201,3747,4546,0,0,0,0,0,0,0,0,7944,5190,0,0,0,469,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43751
3-20_filt_reads.fastq.gz,372,80,0,218,0,0,0,6,0,4,0,0,0,0,229,4326,0,0,1871,1779,1918,2036,0,0,0,0,0,0,0,0,3071,2656,0,0,0,80,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18659
1-11_filt_reads.fastq.gz,61,19,0,28,0,17,0,0,0,0,0,0,0,0,0,885,0,0,421,376,481,529,0,0,0,0,0,0,0,0,1978,1845,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6684
1-23_filt_reads.fastq.gz,0,0,59,0,34,0,18,0,0,0,1189,1405,1610,1399,0,0,2276,8428,81,66,80,82,0,0,0,0,89,85,88,93,0,0,36,108,245,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17506
2-11_filt_reads.fastq.gz,1733,1158,0,2719,0,517,0,290,0,46,0,0,0,0,6176,5734,0,0,1178,1679,1302,1447,0,0,0,0,0,0,0,0,11068,7875,0,0,0,504,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43454
2-23_filt_reads.fastq.gz,1546,76,0,645,0,205,0,13,0,0,0,0,0,0,79,6334,0,7,805,1239,852,1098,0,0,0,0,0,0,0,0,20608,14091,0,0,0,230,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48535
3-11_filt_reads.fastq.gz,1416,508,0,1737,0,294,0,17,0,0,0,0,0,0,1630,6646,0,0,2175,2992,2275,2823,0,0,0,0,0,0,0,0,12086,8612,0,0,0,249,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43463
1-5_filt_reads.fastq.gz,0,0,0,20,0,0,6,0,0,0,30,32,77,0,54,0,46,194,0,0,0,13,0,0,0,0,14,0,41,0,0,0,18,43,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,662
2-5_filt_reads.fastq.gz,0,0,416,0,1939,0,1394,0,14,0,1852,2188,3365,1789,0,0,1903,7406,323,691,398,485,0,0,0,0,1522,2607,861,793,0,0,1317,3163,1821,0,0,0,842,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37102
2-17_filt_reads.fastq.gz,0,0,406,0,1055,0,648,0,29,4,345,386,490,352,0,0,2192,7964,82,158,87,102,0,0,0,0,4359,7442,3575,3168,0,0,2462,6867,632,0,742,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43549
