ID,Type,Experiment,Plate,Treatment,is_low,Ct_Mean_bac,Ct_SD_bac,bac_copies,total_counts,sum_present
1-10_2,bee,1,2,B3-0,,15.1026601791382,0.188833311200142,3679839724.85647,7740,12
1-10_3,bee,1,2,B3-0,,14.9339876174927,0.0526837147772312,4126049664.78883,5618,11
1-10_4,bee,1,2,B3-0,,15.0431861877441,0.0348785296082497,3831378811.74726,7213,12
1-10_5,bee,1,2,B3-0,,15.9552803039551,0.0267145615071058,2063351210.22087,2746,12
1-10_6,bee,1,2,B3-0,,14.7724714279175,0.0299862027168274,4603955443.10999,2844,10
1-10_7,bee,1,2,B3-0,,15.7021064758301,0.112338468432426,2450079055.81069,10790,12
1-10_8,bee,1,2,B3-0,,15.5785264968872,0.0342911183834076,2664387973.27241,3384,13
1-10_9,bee,1,2,B3-0,,16.4379825592041,0.331977546215057,1487055778.44156,1452,10
1-10_10,bee,1,2,B3-0,yes,35.3528480529785,0.573002994060516,3966.15239849199,2489,12
1-12_1,bee,1,2,B3-A3,,15.6279983520508,0.165188163518906,2576432510.58137,1447,13
1-12_10,bee,1,2,B3-A3,,15.2309303283691,0.00162720552179962,3373101472.09906,995,11
1-12_2,bee,1,2,B3-A3,,15.1939735412598,0.104849338531494,3458757206.194,2207,14
1-12_3,bee,1,2,B3-A3,,15.0179891586304,0.855610072612762,3897447920.26173,1481,16
1-12_4,bee,1,2,B3-A3,,16.2576160430908,0.0157071705907583,1680656109.90906,9960,12
1-12_5,bee,1,2,B3-A3,,14.0128316879272,0.177599340677261,7708800074.94261,4855,17
1-12_6,bee,1,2,B3-A3,,15.131103515625,0.0936229228973389,3609499887.4659,18671,18
1-12_7,bee,1,2,B3-A3,,14.5964002609253,0.331697970628738,5188202632.58504,7429,17
1-12_8,bee,1,2,B3-A3,,14.9186334609985,0.0611056461930275,4169261312.11629,1202,12
1-12_9,bee,1,2,B3-A3,,15.3058309555054,0.234232023358345,3205953309.84387,4473,13
1-0_1,bee,1,1,MD,,25.4249095916748,0.307667315006256,3341950.93177068,6,2
1-0_2,bee,1,1,MD,,24.7192001342773,0.181299522519112,5394649.17387029,166,7
1-0_3,bee,1,1,MD,,26.9022216796875,0.0747106149792671,1226467.25279545,16,4
1-0_4,bee,1,1,MD,,25.839485168457,0.239905059337616,2522494.29007731,15,5
1-0_5,bee,1,1,MD,,23.7908916473389,0.152184352278709,10127990.8682717,2,1
1-0_6,bee,1,1,MD,,26.7194366455078,0.129280969500542,1388418.08355933,18,3
1-0_7,bee,1,1,MD,,21.7606430053711,0.139349192380905,40161545.7619931,28,4
1-0_8,bee,1,1,MD,,23.0854568481445,0.0721549987792969,16345774.4043329,7,3
1-0_9,bee,1,1,MD,,21.6141910552979,0.120481096208096,44357580.6285638,2056,4
eb-1,blank,1,1,extraction_blank,,32.3359069824219,0.207231432199478,30720.0259053119,10,4
eb-2,blank,1,2,extraction_blank,,28.7085037231445,0.130167990922928,360054.960801449,325,14
a4-0,bacteria,2,4,A4,,21.092306137085,0.0583237856626511,63206298.1527553,2969,12
a4-3,bacteria,2,4,A4,,20.4736976623535,0.172020226716995,96173627.8180069,22610,13
a5-0,bacteria,2,4,A5,,NA,NA,NA,32289,NA
a5-3,bacteria,2,4,A5,,20.1266536712646,0.0456344671547413,121709708.09475,892,9
a6-0,bacteria,2,4,A6,,20.7716369628906,0.460386246442795,78570093.8500436,1134,10
a6-3,bacteria,2,4,A6,,20.1902523040771,0.0588186606764793,116569129.794908,24957,13
b4-0,bacteria,2,4,B4,,21.1294288635254,0.179265856742859,61634061.092384,1,0
b4-3,bacteria,2,4,B4,,21.2496681213379,0.0128364553675056,56805172.5676936,22703,13
b5-0,bacteria,2,4,B5,,21.4137020111084,0.0915198028087616,50821711.941278,60816,13
b5-3,bacteria,2,4,B5,,NA,NA,NA,47399,NA
b6-0,bacteria,2,4,B6,,21.9796390533447,0.292392462491989,34615867.0143175,17762,13
b6-3,bacteria,2,4,B6,,20.630838394165,0.301938325166702,86446761.2220143,20839,13
2-1_1,bee,2,3,A4-0,,13.3260774612427,0.316040694713593,12284686199.1866,5200,11
2-1_2,bee,2,3,A4-0,,14.2459573745728,0.10485877841711,6580937418.7829,8460,12
2-1_3,bee,2,3,A4-0,,15.0571336746216,0.0600538700819016,3795289905.58326,8820,11
2-1_4,bee,2,3,A4-0,,14.8687591552734,0.0855827033519745,4312771079.63437,6374,12
2-1_5,bee,2,3,A4-0,,14.8980903625488,0.0675416812300682,4227784985.78136,5442,11
2-1_6,bee,2,3,A4-0,,14.1621351242065,0.0648182481527328,6966089611.57617,8930,12
2-1_7,bee,2,3,A4-0,,16.3011150360107,0.263714194297791,1631775045.71527,4100,8
2-1_8,bee,2,3,A4-0,,14.332893371582,0.0841032788157463,6203958519.82673,7404,11
2-1_9,bee,2,3,A4-0,,17.1649303436279,0.458102256059647,908041025.09925,13644,11
2-3_1,bee,2,3,A4-B4,,22.6512584686279,10.0153884887695,21946130.4039737,5433,17
2-3_10,bee,2,3,A4-B4,,16.7691631317139,0.218232810497284,1187771154.28827,10259,13
2-3_2,bee,2,3,A4-B4,,13.3450241088867,0.0756867751479149,12127764180.153,5011,13
2-3_3,bee,2,3,A4-B4,,16.0693607330322,0.0510729365050793,1909656170.54416,20597,12
2-3_4,bee,2,3,A4-B4,,14.2360391616821,0.0867108181118965,6625375930.06475,1872,12
2-3_5,bee,2,3,A4-B4,,13.9965543746948,0.0435274466872215,7794414348.62828,6940,18
2-3_6,bee,2,3,A4-B4,,20.5008754730225,6.42191505432129,94416318.2837805,4689,11
2-3_7,bee,2,3,A4-B4,,16.96510887146,0.0162547193467617,1039896664.95996,7445,16
2-3_8,bee,2,3,A4-B4,,16.7407169342041,0.437066495418549,1210920099.46225,12372,14
2-3_9,bee,2,3,A4-B4,,15.7732439041138,0.465985268354416,2334623480.93756,1751,12
2-5_1,bee,2,3,A5-0,,15.3792104721069,1.38892495632172,3050234515.7473,4326,12
2-5_2,bee,2,3,A5-0,,14.3585405349731,0.233799934387207,6096927200.50015,9453,7
2-5_3,bee,2,3,A5-0,,14.1622314453125,0.0693145617842674,6965634338.00742,7575,8
2-5_4,bee,2,3,A5-0,,16.7885513305664,0.129226610064507,1172247542.89963,39368,13
2-5_6,bee,2,3,A5-0,,16.3961696624756,0.199440136551857,1529850385.59811,2961,11
