"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"1-10_1",408688814.643504,0,271299808.869731,0,0,339124761.087163,0,191301147.279938,257386998.158462,0,66085850.8785241,0,405210611.965687,27825621.4225365,559990631.128546,0,0,996505067.194587,95650573.6399691,0,0,685205927.529961,"B3-0"
"1-10_2",254355846.614756,0,158794117.325848,0,0,353245596.326661,0,206337266.225802,114103557.359891,0,10459492.75799,0,337556357.189676,21869848.493979,559582862.552463,0,0,282406304.465729,906172418.033131,0,0,474956057.510544,"B3-0"
"1-10_3",282022618.597172,0,205641492.727104,0,0,337105161.291932,0,169654231.499861,180670740.038813,0,55082542.6947601,0,357669310.564642,82256597.0908418,753529184.064318,0,0,765280126.505867,0,0,0,937137659.713519,"B3-0"
"1-10_4",170507777.425602,0,121108327.891082,0,0,277805506.522088,0,166789539.288596,70115347.726416,0,14341775.6713124,0,159353063.014582,25496490.0823331,1233392707.73286,0,0,471685066.523162,441407984.550391,0,0,679375225.318833,"B3-0"
"1-10_5",48089758.7232832,0,35315916.5624111,0,0,120975799.288259,0,55603783.5237962,54100978.5636936,0,6762622.3204617,0,94676712.4864638,19536464.4813338,272759100.258622,0,0,392232094.586779,318594651.541751,0,0,644703327.884015,"B3-0"
"1-10_6",317290881.452025,0,187784399.226708,0,0,394994770.787214,0,191022061.282341,208829202.588322,0,171596088.948544,0,0,87416875.5020884,1570266096.98196,0,0,780276555.40753,0,0,0,694478510.933258,"B3-0"
"1-10_7",109220391.644573,0,78793089.1905755,0,0,143507874.260645,0,59492188.380204,42689051.2041158,0,25885914.0280277,0,199366951.900073,20436247.916864,397825626.114952,0,0,266579500.604425,541560569.796895,0,0,564721650.769341,"B3-0"
"1-10_8",123613744.622863,0,59838500.5817681,0,0,122039047.239132,0,88183053.4889214,29919250.290884,0,1574697.38373074,2362046.07559611,365329793.025531,32281296.3664801,571615150.294258,0,0,449576103.055126,410208668.461857,0,0,407846622.386261,"B3-0"
"1-10_9",39941580.8259097,0,19458718.8639047,0,0,36869151.5316089,0,33796722.2373082,12289717.177203,0,0,0,180249185.265644,21507005.0601052,450622963.164109,0,0,349232796.452185,0,0,0,343087937.863583,"B3-0"
"1-10_10",156.160279249584,0,135.445140165456,0,0,219.89916873921,0,105.169167657883,114.730001081327,0,55.7715283034229,0,376.059447988795,23.9020835586098,430.237504054977,0,0,586.397783304561,846.133757974788,0,0,916.246536413377,"B3-0"
