,ESL0825,ESL0820,ESL0822,ESL0170,ESL0824,ESL0198,ESL0827,ESL0199,ESL0200,ESL0819,ESL0197,ESL0294,ESL0394,ESL0295,ESL1028,ESL0263,ESL0185,ESL0183,ESL0835,ESL0354,ESL0393,ESL0259,ESL0260,ESL0184,ESL0350,ESL0186,ESL0261,unknown
1-4_5.fastq.gz,0,58,0,28,0,46,0,10,0,2,0,0,851,22,64,433,3,0,720,0,0,0,0,2,1802,0,352,42
1-4_6.fastq.gz,106,486,22,234,89,562,43,301,0,68,0,0,20357,26,182,16325,31,0,6183,0,0,0,0,2,14066,187,2418,721
1-4_7.fastq.gz,37,441,0,191,40,198,17,115,31,0,0,0,5738,95,25,2463,0,10,4152,0,0,0,0,0,2405,32,1646,300
1-4_8.fastq.gz,0,24,0,18,0,52,0,18,0,0,0,0,1994,0,28,543,0,0,120,0,0,0,0,0,1014,0,334,0
1-4_9.fastq.gz,5,9,0,5,0,8,0,8,0,4,0,0,312,7,2,144,0,0,59,0,0,0,0,0,252,0,97,0
1-4_10.fastq.gz,52,130,16,32,39,48,15,14,11,0,3,0,382,26,7,345,4,0,42,0,0,0,0,0,231,47,43,0
1-5_1.fastq.gz,0,68,0,32,0,40,0,26,0,24,10,0,0,0,12,0,152,527,0,0,0,0,0,70,0,306,0,0
1-5_2.fastq.gz,0,44,0,10,0,23,0,20,0,18,0,0,0,0,16,0,57,521,0,0,0,0,0,152,0,220,0,0
1-5_3.fastq.gz,0,960,0,323,0,528,0,256,0,84,12,0,44,0,208,16,3460,8456,0,0,0,0,0,14,16,7908,0,15
1-5_4.fastq.gz,0,154,0,60,0,102,0,70,0,21,0,0,0,144,5,5,758,5520,0,0,0,0,0,469,0,2801,0,6
1-5_5.fastq.gz,0,122,0,32,0,65,0,44,0,6,8,0,4,0,3,5,278,1136,0,0,0,0,0,0,3,781,0,0
1-5_6.fastq.gz,0,574,0,130,0,309,0,74,0,48,2,0,17,0,0,18,907,7909,0,0,0,0,0,0,6,2685,0,0
1-5_7.fastq.gz,0,748,0,404,0,709,0,454,0,293,120,0,9,246,18,0,859,5313,0,0,0,0,0,0,0,2640,0,6
1-5_8.fastq.gz,0,186,0,88,0,88,0,64,0,55,8,0,6,0,2,0,12473,9470,0,0,0,0,0,0,0,13400,0,640
1-5_9.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,20,1878,0,0,0,0,0,31,0,384,0,3
1-5_10.fastq.gz,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,48,642,0,0,0,0,0,0,0,90,0,0
1-6_1.fastq.gz,119,0,55,0,86,0,77,0,24,0,0,0,1206,0,11,359,0,0,480,0,0,0,0,0,1212,0,165,0
1-6_2.fastq.gz,69,0,18,0,54,0,29,0,6,0,0,0,774,0,4,297,0,0,169,0,0,0,0,0,638,0,206,0
1-6_3.fastq.gz,2,0,0,0,0,0,0,0,0,0,0,0,807,0,0,276,0,0,58,0,0,0,0,0,94,0,16,0
1-6_4.fastq.gz,581,0,232,0,756,0,671,0,14,0,0,0,4582,0,2738,6948,0,0,878,0,0,0,0,0,4206,0,2927,4
1-6_5.fastq.gz,616,0,220,0,206,0,181,0,34,0,0,0,3043,0,0,6869,14,4,654,0,0,0,0,0,2465,0,1855,0
1-6_6.fastq.gz,593,0,106,0,244,0,286,0,10,0,1,0,18544,0,4,9148,0,0,2206,0,0,0,0,0,3897,0,2721,0
1-6_7.fastq.gz,255,0,100,0,466,0,193,0,233,0,37,0,1557,0,56,475,0,0,1198,0,0,0,0,0,2514,0,386,18
1-6_8.fastq.gz,109,0,31,0,59,0,50,0,10,0,0,0,728,0,3,652,0,0,198,0,0,0,0,0,832,0,575,0
1-6_9.fastq.gz,21,0,12,0,17,0,12,0,2,0,0,0,457,0,1,181,0,0,72,0,0,0,0,0,357,0,78,0
1-6_10.fastq.gz,56,0,30,0,27,0,14,0,14,0,3,0,267,0,11,155,0,0,229,0,0,0,0,0,690,0,404,0
1-7_1.fastq.gz,12,184,0,52,0,99,0,101,0,12,0,0,34,119,18,378,272,830,0,0,0,0,0,0,6,1042,0,0
1-7_2.fastq.gz,16,106,0,22,6,106,0,68,0,15,4,0,137,0,1,670,364,1488,0,0,0,0,0,0,24,0,2,0
1-7_3.fastq.gz,0,171,0,46,0,104,0,74,0,28,0,0,34,466,37,174,429,980,0,0,0,0,0,0,10,1142,0,0
1-7_4.fastq.gz,0,80,0,46,3,85,0,32,0,26,8,0,0,254,20,192,282,495,0,0,0,0,0,477,0,703,0,0
1-7_5.fastq.gz,0,57,0,46,0,36,0,26,0,18,6,0,53,0,27,168,243,538,0,0,0,0,0,0,19,869,0,0
1-7_6.fastq.gz,0,38,0,22,0,28,0,16,0,0,0,0,20,64,18,113,175,666,0,0,0,0,0,0,5,453,0,0
1-7_7.fastq.gz,0,118,0,37,0,109,0,94,0,15,2,0,28,0,4,473,544,3304,0,0,0,0,0,0,0,1876,0,305
1-7_8.fastq.gz,4,100,0,63,0,96,0,55,0,33,8,0,67,267,25,119,302,426,0,0,0,0,0,0,29,792,0,0
1-7_9.fastq.gz,0,4,0,0,0,8,0,4,0,0,0,0,0,20,6,169,148,620,0,0,0,0,0,9,0,572,0,0
1-7_10.fastq.gz,0,39,0,21,0,26,0,14,0,0,0,0,4,0,8,234,162,880,0,0,0,0,0,2,0,427,0,0
1-8_1.fastq.gz,63,4,0,0,11,0,8,5,0,0,1,0,588,6,2,198,0,0,78,0,0,0,0,0,470,22,0,0
1-8_2.fastq.gz,21,10,0,0,8,0,0,12,2,0,0,0,864,9,0,323,0,0,508,0,0,0,0,0,479,0,128,0
1-8_3.fastq.gz,70,6,18,0,39,0,21,9,19,0,2,0,1105,11,6,700,0,0,195,0,0,0,0,0,777,16,12,0
1-8_4.fastq.gz,10,0,0,0,13,0,9,0,0,0,0,0,340,2,4,251,0,0,25,0,0,0,0,0,213,0,152,0
1-8_5.fastq.gz,29,0,5,0,12,0,6,0,0,0,0,0,691,0,0,446,0,0,200,0,0,0,0,0,236,0,15,0
1-8_6.fastq.gz,124,4,54,14,91,6,62,22,12,0,0,0,1529,10,8,634,4,0,114,0,0,0,0,0,748,13,71,0
1-8_7.fastq.gz,156,8,100,0,102,4,92,8,40,0,0,0,1062,20,70,238,0,0,366,0,0,0,0,0,1648,0,812,10
1-8_8.fastq.gz,6269,340,2200,244,3624,132,2722,205,824,54,6,0,129718,25,352,25687,171,4,31154,0,0,0,0,74,55353,61,7330,81804
1-8_9.fastq.gz,124,4,58,0,82,0,79,0,46,0,12,0,1621,0,66,586,0,0,674,0,0,0,0,0,4429,0,1772,406
1-9_1.fastq.gz,6,708,0,588,589,0,302,0,0,218,0,0,1917,0,32,5,180,1362,0,0,0,0,0,0,1828,1141,0,313
1-9_2.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
1-9_3.fastq.gz,0,40,0,29,47,0,23,0,0,21,0,0,692,0,45,0,40,376,0,0,0,0,0,0,979,641,0,0
1-9_4.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
1-9_5.fastq.gz,0,293,0,150,218,0,138,0,0,24,0,0,1917,0,22,0,113,851,0,0,0,0,0,0,660,625,0,328
1-9_6.fastq.gz,0,214,0,153,88,0,48,0,0,6,0,0,1507,0,6,0,173,782,0,0,0,0,0,0,855,428,0,0
1-9_7.fastq.gz,0,189,0,154,122,0,58,0,0,58,2,0,1116,0,32,0,151,564,0,0,0,0,0,0,1222,744,0,0
1-9_8.fastq.gz,0,93,0,60,117,0,69,0,0,32,0,0,2097,0,29,0,300,183,0,0,0,0,0,0,2124,1158,0,1001
1-9_9.fastq.gz,0,40,0,32,23,0,16,0,0,13,0,0,326,0,16,0,48,376,0,0,0,0,0,0,518,271,0,0
1-9_10.fastq.gz,0,17,0,10,0,0,10,0,0,0,0,0,2402,0,1,0,153,366,0,0,0,0,0,0,535,1188,0,243
1-10_1.fastq.gz,235,0,156,0,0,195,0,110,148,0,38,0,0,233,16,322,0,0,573,0,0,0,0,55,0,0,394,0
1-10_2.fastq.gz,535,0,334,0,0,743,0,434,240,0,22,0,0,710,46,1177,0,0,594,0,0,0,0,1906,0,0,999,0
1-10_3.fastq.gz,384,0,280,0,0,459,0,231,246,0,75,0,0,487,112,1026,0,0,1042,0,0,0,0,0,0,0,1276,0
1-10_4.fastq.gz,321,0,228,0,0,523,0,314,132,0,27,0,0,300,48,2322,0,0,888,0,0,0,0,831,0,0,1279,0
1-10_5.fastq.gz,64,0,47,0,0,161,0,74,72,0,9,0,0,126,26,363,0,0,522,0,0,0,0,424,0,0,858,0
1-10_6.fastq.gz,196,0,116,0,0,244,0,118,129,0,106,0,0,0,54,970,0,0,482,0,0,0,0,0,0,0,429,0
1-10_7.fastq.gz,481,0,347,0,0,632,0,262,188,0,114,0,0,878,90,1752,0,0,1174,0,0,0,0,2385,0,0,2487,0
1-10_8.fastq.gz,157,0,76,0,0,155,0,112,38,0,2,0,3,464,41,726,0,0,571,0,0,0,0,521,0,0,518,0
1-10_9.fastq.gz,39,0,19,0,0,36,0,33,12,0,0,0,0,176,21,440,0,0,341,0,0,0,0,0,0,0,335,0
1-10_10.fastq.gz,98,0,85,0,0,138,0,66,72,0,35,0,0,236,15,270,0,0,368,0,0,0,0,531,0,0,575,0
1-11_1.fastq.gz,14,144,0,100,103,4,49,5,0,40,2,0,387,1,20,124,67,198,0,0,0,0,0,0,244,435,0,0
1-11_2.fastq.gz,59,251,18,58,106,11,47,21,0,74,6,0,2274,4,3,229,394,116,0,0,0,0,0,0,797,38,0,0
1-11_3.fastq.gz,0,48,0,36,29,0,10,0,0,13,5,0,681,3,10,78,82,377,0,0,0,0,0,0,159,206,0,0
1-11_4.fastq.gz,0,32,0,56,22,0,14,0,0,4,0,0,2605,0,4,273,143,779,0,0,0,0,0,0,552,604,0,0
1-11_5.fastq.gz,4,118,0,70,114,0,15,0,0,2,0,0,3356,1,0,126,538,1124,0,0,0,0,0,0,654,780,0,0
1-11_6.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11_7.fastq.gz,109,808,26,378,506,31,226,35,0,227,7,0,2888,4,14,848,904,752,0,0,0,0,0,0,1219,2313,0,4
1-11_8.fastq.gz,3,377,0,158,191,0,48,0,0,1338,0,0,554,0,841,3418,167,464,0,0,0,0,0,0,156,669,0,3
1-12_1.fastq.gz,72,0,33,0,0,63,0,52,10,0,9,0,31,134,9,467,0,0,245,0,0,0,0,72,0,0,250,0
1-12_2.fastq.gz,153,4,55,0,0,143,0,82,33,0,40,0,0,127,8,522,0,0,271,0,0,0,0,551,0,0,200,18
1-12_3.fastq.gz,74,9,18,12,9,34,0,54,8,0,6,0,93,1,22,608,0,0,96,0,0,0,0,0,42,0,395,0
1-12_4.fastq.gz,246,0,0,0,0,219,0,190,8,0,0,0,4,260,38,3422,0,0,3815,0,0,0,0,779,0,0,957,22
1-12_5.fastq.gz,213,10,174,0,11,257,0,155,180,0,53,0,92,546,77,1185,13,0,914,0,0,0,0,0,35,0,917,23
1-12_6.fastq.gz,797,56,439,50,25,772,9,376,152,0,104,0,486,2048,133,5472,9,0,3306,0,0,0,0,0,794,0,3643,0
1-12_7.fastq.gz,524,12,164,24,14,558,0,272,158,0,44,0,118,0,62,1331,10,0,2544,0,0,0,0,0,142,0,1267,185
1-12_8.fastq.gz,104,0,17,0,0,46,0,6,10,0,11,0,57,0,2,52,0,0,728,0,0,0,0,0,26,0,143,0
1-12_9.fastq.gz,62,0,38,0,0,74,0,59,14,0,2,0,119,376,26,1699,0,0,1136,0,0,0,0,0,12,0,856,0
1-12_10.fastq.gz,37,0,22,0,0,45,0,31,4,0,0,0,33,0,10,363,0,0,191,0,0,0,0,0,14,0,245,0
a1-0.fastq.gz,1242,0,472,0,1231,0,834,0,3624,0,1719,0,0,11252,392,0,230,210,0,0,0,0,0,414,0,260,0,283
a1-3.fastq.gz,3321,0,1274,0,2642,0,1896,0,8274,0,4484,0,0,55212,1257,1,643,525,0,0,0,0,0,896,0,649,0,7215
a2-0.fastq.gz,0,1048,0,727,0,1017,0,1216,0,3964,1771,0,1,3479,772,4,371,232,0,0,0,0,0,684,0,314,0,158
a2-3.fastq.gz,0,606,0,384,0,756,0,721,0,2408,1188,0,0,1990,672,6,309,217,0,0,0,0,0,406,0,251,0,60
a3-0.fastq.gz,0,204,0,851,308,0,212,0,0,1244,578,0,58,10,154,0,56,36,0,0,0,0,0,0,42,64,0,10
a3-3.fastq.gz,0,1166,0,4658,1736,0,1013,0,0,4919,2414,0,333,4,910,8,415,323,0,0,0,0,0,0,308,392,0,122
b1-0.fastq.gz,0,218,0,150,0,477,0,260,0,892,402,0,84,2,134,132,0,0,164,0,0,0,0,0,70,0,70,0
b1-3.fastq.gz,0,123,0,88,0,193,0,176,0,589,272,0,71,1,160,109,0,0,130,0,0,0,0,0,46,0,48,0
b2-0.fastq.gz,8249,0,2618,0,5733,0,5772,0,17514,0,8503,0,2358,0,3376,2994,0,0,2181,0,0,0,0,0,1543,0,917,292
b2-3.fastq.gz,921,0,240,0,718,0,662,0,1219,0,890,0,351,0,739,521,0,0,502,0,0,0,0,0,334,0,174,123
b3-0.fastq.gz,794,0,304,0,0,694,0,510,2189,0,889,0,0,3179,392,327,0,0,300,0,0,0,0,598,0,0,176,0
b3-3.fastq.gz,315,0,124,0,0,209,0,181,658,0,317,0,0,715,184,132,0,0,128,0,0,0,0,136,0,0,47,0
1-s0.fastq.gz,2155,0,816,0,1720,0,2329,0,3561,0,1438,0,567,32,890,1018,0,0,836,0,0,0,0,37,604,6,414,1000
1-s3.fastq.gz,73,0,34,0,78,0,0,0,136,0,138,0,50,0,34,27,10,15,46,0,0,0,0,0,40,0,30,105
eb-2.fastq.gz,43,0,5,0,2,0,34,0,44,0,8,0,23,0,19,12,2,0,26,0,0,0,0,0,20,0,2,85
