"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"2-10_3",0,1189319.38720125,1364219.29708379,0,0,2046328.94562568,1119359.42324824,0,244859.873835552,0,0,106199225.280676,0,5159547.34153484,13922032.8266499,0,71289203.268122,0,0,111726062.432965,146233814.652789,0,"B6-0"
"2-10_4",0,848081378.617134,183539999.849977,0,0,582264827.110271,183539999.849977,0,31644827.5603408,0,18986896.5362045,9588382750.78327,0,31644827.5603408,3563207583.29438,0,2734113101.21345,0,0,3696115859.04781,4063195858.74776,0,"B6-0"
"2-10_5",0,8050449.46398406,2521827.54293477,0,0,5771105.33863918,2182350.75830893,0,0,0,0,158923631.888408,0,0,46847796.2783651,0,40834207.522136,0,0,131619999.067788,100485128.249247,0,"B6-0"
"2-10_6",0,1859251853.01641,578605348.449091,0,0,555461134.511128,536174289.562825,0,786903273.890764,0,30858951.9172849,10453469961.9802,0,84862117.7725334,2611438806.00023,0,8100474878.28728,0,0,3463917352.71523,3174614678.49068,0,"B6-0"
"2-10_7",0,12911565.9348795,7378037.677074,0,0,11067056.515611,6271332.0255129,0,737803.7677074,0,0,182606432.507581,0,5779462.8470413,90626896.1333923,0,44514160.6516798,0,0,181376759.561402,153709118.272375,0,"B6-0"
"2-10_8",0,3640466.75786979,0,0,0,0,0,0,0,0,0,1817503028.86649,0,0,1630929107.52566,0,232989872.503666,0,0,239360689.329939,909206572.777979,0,"B6-0"
"2-10_9",0,1320840886.64815,215572924.791814,0,0,303263606.06306,204611589.632908,0,40191562.2493212,0,40191562.2493212,3262824098.96762,0,0,2234285483.22363,0,4521550753.04864,0,0,2144767912.75923,2477261745.91271,0,"B6-0"
"2-10_10",0,72162139.7314605,30067558.2214419,0,0,38658289.1418538,16322388.7487827,0,5154438.55224718,0,0,848334678.390681,0,3436292.36816479,182553032.058754,0,734507493.695223,0,0,574719898.57556,429966082.566619,0,"B6-0"
"2-11_1",189827038.788307,11004466.0167134,6190012.13440131,94913519.3941534,596992281.406704,2063337.37813377,0,276487208.669925,0,38515631.058497,9628907.76462426,303310594.585664,748303689.136514,28886723.2938728,1426453907.41648,898239538.614235,0,2499389344.04604,0,23384490.2855161,0,1585330885.53278,"A6-B6"
"2-11_2",37600732.775984,1655378.1725276,0,9695786.43909021,34053493.8348534,0,0,18445642.4938789,0,6148547.49795965,0,21519916.2428588,41620936.9092653,236482.596075371,311447579.031264,271009055.102375,0,736643286.774781,46823554.0229235,4020204.13328131,0,281887254.521842,"A6-B6"
