"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"3-1_1",463238193.203944,0,254033847.886034,0,574066685.664028,0,226638040.76107,0,18678959.4033849,0,21169487.3238362,0,0,17433695.4431592,0,450785553.601688,1970007585.07699,0,0,0,2306228854.33792,0,"A1-0"
"3-1_2",69766366.0753568,0,6644415.81670064,0,50940521.2613716,0,11074026.3611677,0,0,0,0,0,4429610.5444671,0,0,488364562.527497,1765199801.97014,0,0,0,1455127063.85744,0,"A1-0"
"3-1_3",123984170.06839,0,79316472.4343239,0,127323811.012994,0,49677159.0509713,0,30056768.501428,0,8766557.47958316,0,159467855.104799,33813864.5641065,0,401591823.588524,1039045788.88964,0,0,0,1254035174.69847,0,"A1-0"
"3-1_4",275933366.377927,0,19495292.1897448,0,124220002.798759,0,30742576.1453668,0,3499155.00841573,0,12746921.8163716,0,0,0,0,767314705.416879,1606612028.14974,0,0,0,150213725.718418,0,"A1-0"
"3-1_5",353784882.253801,0,324720401.842015,0,323718178.37954,0,150333519.371303,0,82182323.9229792,0,28062256.94931,0,0,99220122.7850603,0,879952200.053363,1822042254.7802,0,0,0,2395314075.3161,0,"A1-0"
"3-1_6",383601386.443849,0,193920037.89841,0,285051858.98728,0,75236736.0152301,0,19074102.0883682,0,11656395.7206695,0,0,4238689.35297071,0,325319407.840502,3277566542.1846,0,0,0,1181534657.14059,0,"A1-0"
"3-1_7",279531543.726207,0,145772896.72828,0,279531543.726207,0,128952947.105786,0,90507347.9686571,0,18421849.5865408,0,0,38445599.1371287,0,634352385.762624,2018393954.69926,0,0,0,2232247599.89953,0,"A1-0"
"3-1_8",212002489.766581,0,64925762.4910154,0,120576416.054743,0,60950715.807892,0,42400497.9533162,0,7950093.36624678,0,75525886.9793444,0,0,479655633.096889,3368189556.16655,0,0,0,1277315000.84365,0,"A1-0"
"3-1_9",56306223.9076915,0,11261244.7815383,0,30802816.6083254,0,12254884.0269682,0,2318491.57266965,0,0,0,1656065.40904975,0,0,451112217.425152,2272784167.37988,0,0,0,621355741.475467,0,"A1-0"
"3-1_10",362076281.918068,0,35229043.6460823,0,113515807.304043,0,54800734.5605724,0,52843565.4691234,0,3914338.18289803,0,0,1957169.09144902,0,806353665.676994,6411685943.58697,0,0,0,743724254.750626,0,"A1-0"
"3-2_1",0,84448755.5242244,0,18473165.2709241,0,91046314.5495544,0,119635736.992651,0,16713816.1975027,0,906064772.811991,0,35186981.4684268,354508838.2944,0,0,38265842.3469142,0,929815985.303179,0,383538098.005852,"B1-0"
"3-2_2",0,143815647.156068,0,79021699.1726525,3076270.52740253,123243088.004064,0,117667347.673147,0,57487805.4808348,1345868.35573861,522389188.934542,0,32685374.3536519,246293909.100165,0,0,370882865.459968,0,933648105.066668,0,140739376.628666,"B1-0"
"3-2_3",0,101147078.684014,0,16076356.8769295,0,99807382.2776037,0,208322791.196878,0,37511499.3795021,5358785.62564315,949844752.145249,0,19090673.7913537,473582679.666214,0,0,605542775.697676,0,1225487287.76427,0,233107174.715477,"B1-0"
"3-2_4",0,86463219.2038892,0,25306308.0596749,0,29524026.0696207,0,118517876.079477,0,4217718.00994582,0,2348425387.93783,0,6748348.8159133,955734901.053722,0,0,549146884.894945,0,522153489.631292,0,57360964.9352631,"B1-0"
"3-2_5",0,63250321.2227972,0,11775325.7595633,0,29942971.2171752,0,131883648.507109,0,3700816.66729132,0,1251885347.181,0,14130390.911476,957165765.313074,0,0,752611534.975517,0,451836071.288386,0,164854560.633886,"B1-0"
"3-2_6",0,2199155.36674736,0,1676704.09177423,0,3693609.01376351,0,2818806.87892479,0,279450.681962371,0,25928163.2742478,0,571051.39357528,11481778.0197583,0,0,9282622.65301093,0,24749610.3981456,0,12806131.2516669,"B1-0"
"3-2_7",0,108185654.083892,0,39233335.028447,0,45968212.70363,0,105833792.03859,0,40088557.590375,1817347.944097,1507757376.67906,0,18387285.081452,553756608.84838,0,0,617898300.99298,0,1326236387.90985,0,304566134.866609,"B1-0"
