,ESL0825,ESL0820,ESL0822,ESL0170,ESL0824,ESL0198,ESL0827,ESL0199,ESL0200,ESL0819,ESL0197,ESL0294,ESL0394,ESL0295,ESL1028,ESL0263,ESL0185,ESL0183,ESL0835,ESL0354,ESL0393,ESL0259,ESL0260,ESL0184,ESL0350,ESL0186,ESL0261,unknown
2-5_4.fastq.gz,0,2080,1046,0,0,1567,0,907,1144,0,139,0,1,1563,264,9653,0,0,11733,0,0,0,0,0,0,8186,0,1085
2-5_5.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,46
2-5_6.fastq.gz,0,120,61,0,0,141,0,56,78,0,32,0,0,195,36,655,0,0,656,0,0,0,0,0,0,931,0,0
2-5_7.fastq.gz,0,880,317,0,0,346,0,358,32,0,60,0,0,197,36,1009,0,0,3390,0,0,0,0,0,0,3427,0,0
2-6_1.fastq.gz,283,0,0,184,368,0,175,0,0,172,0,0,3278,0,325,0,278,1193,0,0,0,0,0,0,2572,0,1090,0
2-6_2.fastq.gz,311,0,0,88,222,0,96,0,0,88,0,0,2606,0,13,0,86,588,0,0,0,0,0,0,1075,0,333,1007
2-6_3.fastq.gz,257,0,0,178,480,0,132,0,0,144,0,0,5880,0,101,0,214,3344,0,0,0,0,0,0,1846,0,1709,497
2-6_4.fastq.gz,436,0,0,284,249,0,169,0,0,108,7,0,2384,0,18,0,168,1220,0,0,0,0,0,0,1139,0,562,448
2-6_5.fastq.gz,112,0,0,77,81,0,79,0,0,12,0,0,2419,0,42,0,178,702,0,0,0,0,0,0,2620,0,1007,0
2-6_6.fastq.gz,531,0,0,290,277,0,172,0,0,255,0,0,2178,0,58,0,112,972,0,0,0,0,0,0,2075,0,466,892
2-6_7.fastq.gz,236,0,0,149,194,0,109,0,0,10,0,0,4286,0,27,0,162,1115,0,0,0,0,0,0,2211,0,220,1377
2-6_8.fastq.gz,20,0,0,11,5,0,0,0,0,4,0,0,676,0,1,0,44,299,0,0,0,0,0,0,282,0,123,0
2-7_1.fastq.gz,395,137,126,114,54,166,35,60,40,62,29,0,155,214,53,2081,18,0,5315,0,0,0,0,668,326,1459,0,0
2-7_2.fastq.gz,22,394,204,0,0,319,0,146,30,0,56,0,78,445,76,1564,10,0,1577,0,0,0,0,0,42,2168,0,0
2-7_3.fastq.gz,23,332,148,0,0,365,0,238,362,0,289,0,40,0,250,2992,51,0,3144,0,0,0,0,0,108,2776,0,0
2-7_4.fastq.gz,22,827,262,0,0,478,0,430,214,0,87,0,56,137,156,882,34,0,2547,0,0,0,0,0,250,2540,0,0
2-7_5.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
2-7_6.fastq.gz,0,206,60,0,0,83,0,82,70,0,12,0,84,33,3,2824,0,0,1960,0,0,0,0,321,0,1108,0,0
2-7_7.fastq.gz,19,150,26,0,7,16,5,71,16,0,0,0,170,198,30,2769,0,0,178,0,0,0,0,0,11,703,0,3
2-7_8.fastq.gz,0,80,17,0,0,123,0,116,32,0,0,0,35,51,61,680,0,0,3427,0,0,0,0,806,0,2949,0,0
2-7_9.fastq.gz,45,304,84,0,15,184,8,151,160,0,40,0,17,27,9,802,0,0,1736,0,0,0,0,191,0,861,0,0
eb-3.fastq.gz,139,0,0,0,0,0,0,0,0,0,0,0,232,0,0,62,42,0,630,0,0,0,0,68,0,0,104,194
2-8_1.fastq.gz,220,4,0,35,56,0,54,0,0,4,0,0,2329,0,0,218,18,1337,0,0,0,0,0,0,793,0,134,200
2-8_2.fastq.gz,113,0,0,14,14,0,19,0,0,30,4,0,918,0,7,0,40,1462,0,0,0,0,0,0,612,0,149,0
2-8_3.fastq.gz,39,0,0,32,71,0,23,0,0,14,0,0,2129,0,2,405,184,749,0,0,0,0,0,0,264,0,442,0
2-8_4.fastq.gz,119,4,0,9,0,0,21,0,0,4,0,0,20764,0,0,1951,418,1468,0,0,0,0,0,0,706,0,59,93
2-8_5.fastq.gz,602,22,12,606,911,12,343,0,0,34,7,0,14964,6,202,5720,1385,5686,0,0,0,0,0,0,4540,99,2251,112
2-8_6.fastq.gz,98,0,0,22,37,0,8,0,0,8,0,0,2086,9,20,364,188,486,0,0,0,0,0,0,838,0,242,0
2-8_7.fastq.gz,116,14,0,79,96,5,28,6,0,10,0,0,1491,1,14,104,140,387,0,0,0,0,0,0,901,0,537,0
2-8_8.fastq.gz,42,0,0,42,59,0,48,0,0,160,0,0,2017,0,104,1533,313,8036,0,0,0,0,0,0,2470,0,2688,8
2-8_9.fastq.gz,16,0,0,11,16,0,7,0,0,0,0,0,3988,0,0,395,207,1882,0,0,0,0,0,0,1503,0,129,1544
2-9_1.fastq.gz,64,0,0,22,91,0,0,46,0,22,7,0,0,18,3,0,467,0,3175,0,0,0,0,989,0,0,347,0
2-9_2.fastq.gz,57,0,0,10,32,0,0,20,0,12,0,0,0,20,5,0,385,0,2848,0,0,0,0,1,0,0,547,6
2-9_3.fastq.gz,70,0,0,28,69,0,0,42,0,50,18,0,0,59,16,0,541,0,1524,0,0,0,0,555,0,0,487,0
2-9_4.fastq.gz,429,0,0,76,239,0,0,250,0,41,9,0,0,331,32,0,1127,0,4724,0,0,0,0,1809,0,0,5465,0
2-9_5.fastq.gz,370,0,0,59,209,0,0,95,0,42,0,0,0,98,5,0,869,0,4372,0,0,0,0,6,0,0,1392,0
